1,0.1,51,8.8847
1,1,10.78,1.9513
1,10,3.12,0.32826
1,100,3.1,0.30305
1,1000,3.06,0.2399
3,0.1,72,11.81
3,1,16,2.6264
3,10,3.08,0.27405
3,100,3.14,0.35051
3,1000,3.14,0.35051
5,0.1,74.46,12.337
5,1,18.18,3.3666
5,10,3.08,0.27405
5,100,3.14,0.35051
5,1000,3.12,0.32826
8,0.1,76.46,11.245
8,1,19.74,3.7352
8,10,3.14,0.35051
8,100,3.06,0.2399
8,1000,3.06,0.2399
